id,text,created_at,like_count,retweet_count,lang,username
914278688144883713,"RT @joebereta: Hey @realDonaldTrump you're a real piece of shit. 
You'll go down in history as such.
Hey, everyone else, be better than the…",Sun Oct 01 00:00:00 +0000 2017,0,169,en,grizzy_m
914278695657000960,"RT @Newsweek: Meet Carmen Yulín Cruz, the woman taking on Donald Trump after Hurricane Maria https://t.co/d1Adsyfswr https://t.co/GHBkmBUkOG",Sun Oct 01 00:00:02 +0000 2017,0,32,en,harva352
914278688144883713,"RT @joebereta: Hey @realDonaldTrump you're a real piece of shit. 
You'll go down in history as such.
Hey, everyone else, be better than the…",Sun Oct 01 00:00:00 +0000 2017,0,169,en,grizzy_m
914278695657000960,"RT @Newsweek: Meet Carmen Yulín Cruz, the woman taking on Donald Trump after Hurricane Maria https://t.co/d1Adsyfswr https://t.co/GHBkmBUkOG",Sun Oct 01 00:00:02 +0000 2017,0,32,en,harva352
914278698769174528,RT @CBPFlorida: U.S. Customs and Border Protection Air and Marine Operations delivering supplies supporting response efforts in Puerto Rico…,Sun Oct 01 00:00:02 +0000 2017,0,1583,en,orlisara0927
914278708663521280,RT @CNN: This 15-year-old boy in Puerto Rico is raising funds for solar lamps to help people affected by Hurricane Maria https://t.co/xeeE2…,Sun Oct 01 00:00:05 +0000 2017,0,723,en,RiseUpAbove
914278709976195073,RT @DeptofDefense: .@USNationalGuard troops assist in providing food at various points throughout the #USVI 🇻🇮 #HurricaneMaria #ReliefEffor…,Sun Oct 01 00:00:05 +0000 2017,0,446,en,SBrazius
914278719048552449,RT @KamalaHarris: We can't forget about the US Virgin Islands. Back-to-back storms left many struggling to recover. They also need our help…,Sun Oct 01 00:00:07 +0000 2017,0,3525,en,Ionaonie
914278725646200832,RT @EricBlake12: First Atlantic break since August 23! Rather impressive stretch of advisories #Harvey #Irma #Jose #Katia #Lee #Maria https…,Sun Oct 01 00:00:09 +0000 2017,0,45,en,AwaretoBeware
914278733128830976,"@70NEWS1 @wordpressdotcom Absolutely not true. #fakenews
https://t.co/KmVH9QA42N",Sun Oct 01 00:00:11 +0000 2017,0,0,en,NedSparks
914278738791038976,RT @cnni: This 15-year-old boy in Puerto Rico is raising funds for solar lamps to help people affected by Hurricane Maria https://t.co/vuJu…,Sun Oct 01 00:00:12 +0000 2017,0,89,en,News365247live
914278739390820352,RT @fema: It’s been 10 days since #Maria made landfall in the USVI &amp; Puerto Rico. Track progress made so far on our timeline: https://t.co/…,Sun Oct 01 00:00:12 +0000 2017,0,1550,en,carvedk
914278743794954243,RT @ChiefPentSpox: .@DeptofDefense #HurricaneMaria #ReliefEfforts continue 24/7 in #PuertoRico &amp; #VirginIslands. For the latest visit: http…,Sun Oct 01 00:00:13 +0000 2017,0,407,en,JoanneMSlaught3
914278745090949121,RT @CNN: This 15-year-old boy in Puerto Rico is raising funds for solar lamps to help people affected by Hurricane Maria https://t.co/5ivx2…,Sun Oct 01 00:00:13 +0000 2017,0,543,en,abdoulrahman_i
914278759817027586,"#psychicleo #hurricanemaria #puertorico #trump Remember, all of the horrible things @realDonaldTrump has done and said in November! https://t.co/eRTfR8cWuj",Sun Oct 01 00:00:17 +0000 2017,0,0,en,TheRealLeoBrown
914278760207339520,RT @KamalaHarris: We can't forget about the US Virgin Islands. Back-to-back storms left many struggling to recover. They also need our help…,Sun Oct 01 00:00:17 +0000 2017,0,3525,en,TrzcinskiRegina
914278764128948225,"RT @kujakupoet: @ABC 16% of #PuertoRico 's people have diabetes compared to 10% of US in general. W/o power or ice, insulin is going bad. h…",Sun Oct 01 00:00:18 +0000 2017,0,1,en,her_lisa
914278765399744513,RT @danpfeiffer: Here's a list of verified GoFundMe campaigns for victims of Hurricane Maria: https://t.co/KgqjyTEjdL,Sun Oct 01 00:00:18 +0000 2017,0,888,en,Readnknitndrink
914278767383777281,RT @KamalaHarris: We can't forget about the US Virgin Islands. Back-to-back storms left many struggling to recover. They also need our help…,Sun Oct 01 00:00:19 +0000 2017,0,3525,en,ShowMe_Logic
914278770860634112,"RT @AlexiatheRook: I'm gonna do a thing to help out!
Even though I'm sick. I'll do 5 icons to whoever donates $10+ &amp; DMs me with proof of d…",Sun Oct 01 00:00:20 +0000 2017,0,1,en,InkSpilledSafe
914278772538593281,RT @CNN: This 15-year-old boy in Puerto Rico is raising funds for solar lamps to help people affected by Hurricane Maria https://t.co/xeeE2…,Sun Oct 01 00:00:20 +0000 2017,0,723,en,amer1canw0man
914278786635636737,RT @CNN: This 15-year-old boy in Puerto Rico is raising funds for solar lamps to help people affected by Hurricane Maria https://t.co/xeeE2…,Sun Oct 01 00:00:23 +0000 2017,0,723,en,abrwnigrl
914278789185703936,RT @FoxNews: .@fema's response to aftermath of Hurricane Maria in Puerto Rico #FoxReport https://t.co/YcQygsoEgP https://t.co/oa7VsJit4h,Sun Oct 01 00:00:24 +0000 2017,0,278,en,Michael68409196
914278792717389824,"RT @AP: For some Puerto Ricans, Hurricane Maria is a reminder of 'second-class' status in America. https://t.co/W3NqrNJDUt",Sun Oct 01 00:00:25 +0000 2017,0,365,en,EverydayAllDay
914278797205168128,RT @CNN: This 15-year-old boy in Puerto Rico is raising funds for solar lamps to help people affected by Hurricane Maria https://t.co/xeeE2…,Sun Oct 01 00:00:26 +0000 2017,0,723,en,vkodyte7
914278798417432576,"RT @ABC: Harrowing drone footage shows a neighborhood of San Juan, Puerto Rico, in aftermath of Hurricane Maria. ""Ghost town covered in sew…",Sun Oct 01 00:00:26 +0000 2017,0,4585,en,davemshaw93
914278799881134080,RT @kikehndez: 100% of the profits are going to those directly affected by Hurricane Maria in PR! 🙏🏼🇵🇷 https://t.co/Pugcqify64 https://t.co…,Sun Oct 01 00:00:27 +0000 2017,0,319,en,WildHorseFDN
914278821993558023,RT @thejointstaff: #GenDunford on the @deptofdefense commitment to the people of #PuertoRico following #HurricaneMaria. https://t.co/5CYp42…,Sun Oct 01 00:00:32 +0000 2017,0,546,en,candice52012445
914278826628325377,RT @Reuters: Factbox: Relief efforts in Puerto Rico after Hurricane Maria https://t.co/A0LNYqm5ai https://t.co/hTOzLurCTk,Sun Oct 01 00:00:33 +0000 2017,0,69,en,mcwilkins63
914278827001569286,RT @CNN: This 15-year-old boy in Puerto Rico is raising funds for solar lamps to help people affected by Hurricane Maria https://t.co/xeeE2…,Sun Oct 01 00:00:33 +0000 2017,0,723,en,Ruby_Malka
914278829216198656,RT @NASAEarth: #HurricaneMaria's torrential rainfall measured from space. https://t.co/oXjOincrKY https://t.co/DbaJQGxOHn,Sun Oct 01 00:00:34 +0000 2017,0,486,en,myrnaly123
914278829702602752,Puerto Rico could feel the effects of Hurricane Maria for decades.. https://t.co/q8OOkYqPRC,Sun Oct 01 00:00:34 +0000 2017,0,0,en,sharebossindia
914278829958590465,RT @AynRandPaulRyan: 2- This is 5 days after Hurricane Maria hit Puerto Rico. Others on the call: https://t.co/geJvXDsgr4,Sun Oct 01 00:00:34 +0000 2017,0,997,en,deploycatattack
914278833997647872,"RT @ABC: Harrowing drone footage shows a neighborhood of San Juan, Puerto Rico, in aftermath of Hurricane Maria. ""Ghost town covered in sew…",Sun Oct 01 00:00:35 +0000 2017,0,4586,en,AnnGartland
914278840054059008,RT @CNN: This 15-year-old boy in Puerto Rico is raising funds for solar lamps to help people affected by Hurricane Maria https://t.co/xeeE2…,Sun Oct 01 00:00:36 +0000 2017,0,723,en,Wineguy_69
914278844047282176,RT @CNN: This 15-year-old boy in Puerto Rico is raising funds for solar lamps to help people affected by Hurricane Maria https://t.co/xeeE2…,Sun Oct 01 00:00:37 +0000 2017,0,723,en,Houseofmokes
914278852238573569,RT @CNN: This 15-year-old boy in Puerto Rico is raising funds for solar lamps to help people affected by Hurricane Maria https://t.co/xeeE2…,Sun Oct 01 00:00:39 +0000 2017,0,723,en,SCCDP
914278852293042177,"RT @marymauldin: HERE!!!! #CROOKS #PuertoRico #GraftGreed

Been reporting all morning! 

#Teamsters Argue 4 More $$$ In This TRAGEDY
https:…",Sun Oct 01 00:00:39 +0000 2017,0,30,en,malibujonfanti
914278852603424768,"Hurricane Maria’s death toll in Puerto Rico is higher than official count, experts say https://t.co/uoj6NjaQWq",Sun Oct 01 00:00:39 +0000 2017,2,1,en,nancyjeanbird
914278855812222976,"RT @EjHirschberger: Curt Schilling in Puerto Rico: Trump Provided Speedy Relief, But Execution on the Ground... https://t.co/njTqI3rE6I by…",Sun Oct 01 00:00:40 +0000 2017,0,16,en,statum_mike
914278858156896257,RT @thehill: Trump hits NFL players again while Puerto Rico recovers from Hurricane Maria https://t.co/yqUJig7JEs https://t.co/Y5dUpY0ayU,Sun Oct 01 00:00:40 +0000 2017,0,65,en,MrsManOfSteele
914278862862905344,"RT @LeoDiCaprio: Proud to support @Ricky_Martin’s efforts w/ @habitatpr, @WeCareSolar &amp; @MusicforRelief for Hurricane Maria relief: https:/…",Sun Oct 01 00:00:42 +0000 2017,0,2042,en,Kate_W_Official
914278865069006848,Hurricane Maria a reminder of 'second-class' status for some https://t.co/r6lHMcI4Yf #SmartNews,Sun Oct 01 00:00:42 +0000 2017,0,0,en,denuribe73
914278865400365056,RT @CNN: This 15-year-old boy in Puerto Rico is raising funds for solar lamps to help people affected by Hurricane Maria https://t.co/xeeE2…,Sun Oct 01 00:00:42 +0000 2017,0,723,en,ana_cd
